a.banasikowska@gmail.com,option2,2
a.banasikowska@gmail.com,option2,2
a.banasikowska@gmail.com,option1,1
a.banasikowska@gmail.com,Fitness,Bristol
a.banasikowska@gmail.com,Chess,Bristol
a.banasikowski@gmail.com,Fitness,Bristol
a.banasikowska@gmail.com,Chess,Bristol
a.banasikowska@gmail.com,Art,Bristol
a.banasikowska@gmail.com,Fitness,London
a.banasikowski@gmail.com,Art,London
a.banasikowski@gmail.pl,Fitness,London
a.banasikowska@gmail.com,Fitness,Choose
a.banasikowska@gmail.com,Chess,Choose
a.banasikowska@gmail.com,Chess,Choose
a.banasikowska@gmail.com,Chess,Choose
a.banasikowska@gmail.com,Fitness,Bristol
a.banasikowska@gmail.com,Fitness,Bristol
a.banasikowski@gmail.com,Fitness,Bristol
a.banasikowska@gmail.com,Fitness,London
name@gmail.com,Chess,Bristol
a@gmail.com,Chess,London
a@gmail.com,Fitness,Bristol
dfgdfg@sdf,Art,Bristol
fdgdfgf@sdfg,Fitness,London
a@gmail.com,Art,London
a@test.pl,Fitness,London
A@gmail.com,Art,London
a@gmail.com,Art,London
w@p,Fitness,Edinburgh
